Station_Code,datetime,depth_m_corrected,level_m_corrected
Gallinas_creek,7/21/23 9:15,,0.15
Gallinas_creek,7/21/23 9:30,,0.15
Gallinas_creek,7/21/23 9:45,,0.16
Gallinas_creek,7/21/23 10:00,,0.18
Gallinas_creek,7/21/23 10:15,,0.23
Gallinas_creek,7/21/23 10:30,,0.3
Gallinas_creek,7/21/23 10:45,,0.38
Gallinas_creek,7/21/23 11:00,,0.47
Gallinas_creek,7/21/23 11:15,,0.57
Gallinas_creek,7/21/23 11:30,,0.66
Gallinas_creek,7/21/23 11:45,,0.76
Gallinas_creek,7/21/23 12:00,,0.86
Gallinas_creek,7/21/23 12:15,,0.96
Gallinas_creek,7/21/23 12:30,,1.05
Gallinas_creek,7/21/23 12:45,,1.14
Gallinas_creek,7/21/23 13:00,,1.22
Gallinas_creek,7/21/23 13:15,,1.3
Gallinas_creek,7/21/23 13:30,,1.38
Gallinas_creek,7/21/23 13:45,,1.44
Gallinas_creek,7/21/23 14:00,,1.49
Gallinas_creek,7/21/23 14:15,,1.53
Gallinas_creek,7/21/23 14:30,,1.57
Gallinas_creek,7/21/23 14:45,,1.63
Gallinas_creek,7/21/23 15:00,,1.67
Gallinas_creek,7/21/23 15:15,,1.69
Gallinas_creek,7/21/23 15:30,,1.7
Gallinas_creek,7/21/23 15:45,,1.71
Gallinas_creek,7/21/23 16:00,,1.72
Gallinas_creek,7/21/23 16:15,,1.71
Gallinas_creek,7/21/23 16:30,,1.7
Gallinas_creek,7/21/23 16:45,,1.69
Gallinas_creek,7/21/23 17:00,,1.64
Gallinas_creek,7/21/23 17:15,,1.59
Gallinas_creek,7/21/23 17:30,,1.55
Gallinas_creek,7/21/23 17:45,,1.49
Gallinas_creek,7/21/23 18:00,,1.43
Gallinas_creek,7/21/23 18:15,,1.37
Gallinas_creek,7/21/23 18:30,,1.3
Gallinas_creek,7/21/23 18:45,,1.25
Gallinas_creek,7/21/23 19:00,,1.19
Gallinas_creek,7/21/23 19:15,,1.14
Gallinas_creek,7/21/23 19:30,,1.1
Gallinas_creek,7/21/23 19:45,,1.04
Gallinas_creek,7/21/23 20:00,,1.01
Gallinas_creek,7/21/23 20:15,,0.99
Gallinas_creek,7/21/23 20:30,,0.98
Gallinas_creek,7/21/23 20:45,,0.98
Gallinas_creek,7/21/23 21:00,,0.98
Gallinas_creek,7/21/23 21:15,,0.99
Gallinas_creek,7/21/23 21:30,,0.98
Gallinas_creek,7/21/23 21:45,,0.99
Gallinas_creek,7/21/23 22:00,,1.03
Gallinas_creek,7/21/23 22:15,,1.08
Gallinas_creek,7/21/23 22:30,,1.13
Gallinas_creek,7/21/23 22:45,,1.17
Gallinas_creek,7/21/23 23:00,,1.22
Gallinas_creek,7/21/23 23:15,,1.26
Gallinas_creek,7/21/23 23:30,,1.32
Gallinas_creek,7/21/23 23:45,,1.38
Gallinas_creek,7/22/23 0:00,,1.45
Gallinas_creek,7/22/23 0:15,,1.5
Gallinas_creek,7/22/23 0:30,,1.54
Gallinas_creek,7/22/23 0:45,,1.6
Gallinas_creek,7/22/23 1:00,,1.65
Gallinas_creek,7/22/23 1:15,,1.7
Gallinas_creek,7/22/23 1:30,,1.73
Gallinas_creek,7/22/23 1:45,,1.77
Gallinas_creek,7/22/23 2:00,,1.77
Gallinas_creek,7/22/23 2:15,,1.77
Gallinas_creek,7/22/23 2:30,,1.78
Gallinas_creek,7/22/23 2:45,,1.78
Gallinas_creek,7/22/23 3:00,,1.77
Gallinas_creek,7/22/23 3:15,,1.73
Gallinas_creek,7/22/23 3:30,,1.68
Gallinas_creek,7/22/23 3:45,,1.62
Gallinas_creek,7/22/23 4:00,,1.57
Gallinas_creek,7/22/23 4:15,,1.51
Gallinas_creek,7/22/23 4:30,,1.45
Gallinas_creek,7/22/23 4:45,,1.37
Gallinas_creek,7/22/23 5:00,,1.29
Gallinas_creek,7/22/23 5:15,,1.21
Gallinas_creek,7/22/23 5:30,,1.11
Gallinas_creek,7/22/23 5:45,,1.03
Gallinas_creek,7/22/23 6:00,,0.96
Gallinas_creek,7/22/23 6:15,,0.89
Gallinas_creek,7/22/23 6:30,,0.82
Gallinas_creek,7/22/23 6:45,,0.75
Gallinas_creek,7/22/23 7:00,,0.68
Gallinas_creek,7/22/23 7:15,,0.61
Gallinas_creek,7/22/23 7:30,,0.55
Gallinas_creek,7/22/23 7:45,,0.49
Gallinas_creek,7/22/23 8:00,,0.44
Gallinas_creek,7/22/23 8:15,,0.4
Gallinas_creek,7/22/23 8:30,,0.36
Gallinas_creek,7/22/23 8:45,,0.32
Gallinas_creek,7/22/23 9:00,,0.29
Gallinas_creek,7/22/23 9:15,,0.26
Gallinas_creek,7/22/23 9:30,,0.26
Gallinas_creek,7/22/23 9:45,,0.26
Gallinas_creek,7/22/23 10:00,,0.28
Gallinas_creek,7/22/23 10:15,,0.32
Gallinas_creek,7/22/23 10:30,,0.36
Gallinas_creek,7/22/23 10:45,,0.39
Gallinas_creek,7/22/23 11:00,,0.44
Gallinas_creek,7/22/23 11:15,,0.49
Gallinas_creek,7/22/23 11:30,,0.57
Gallinas_creek,7/22/23 11:45,,0.65
Gallinas_creek,7/22/23 12:00,,0.77
Gallinas_creek,7/22/23 12:15,,0.86
Gallinas_creek,7/22/23 12:30,,0.95
Gallinas_creek,7/22/23 12:45,,1.03
Gallinas_creek,7/22/23 13:00,,1.11
Gallinas_creek,7/22/23 13:15,,1.19
Gallinas_creek,7/22/23 13:30,,1.28
Gallinas_creek,7/22/23 13:45,,1.35
Gallinas_creek,7/22/23 14:00,,1.42
Gallinas_creek,7/22/23 14:15,,1.48
Gallinas_creek,7/22/23 14:30,,1.54
Gallinas_creek,7/22/23 14:45,,1.58
Gallinas_creek,7/22/23 15:00,,1.63
Gallinas_creek,7/22/23 15:15,,1.67
Gallinas_creek,7/22/23 15:30,,1.7
Gallinas_creek,7/22/23 15:45,,1.73
Gallinas_creek,7/22/23 16:00,,1.75
Gallinas_creek,7/22/23 16:15,,1.76
Gallinas_creek,7/22/23 16:30,,1.77
Gallinas_creek,7/22/23 16:45,,1.76
Gallinas_creek,7/22/23 17:00,,1.75
Gallinas_creek,7/22/23 17:15,,1.72
