Station_Code,datetime,depth_m_corrected,level_m_corrected,tide_wse_H,tide_wse_L
Gallinas_creek,12/27/23 12:00,NA,2.38,2.38,NA
Gallinas_creek,7/31/23 23:15,NA,2.34,2.34,NA
Gallinas_creek,8/2/23 0:15,NA,2.31,2.31,NA
Gallinas_creek,11/15/23 13:00,NA,2.31,2.31,NA
Gallinas_creek,2/9/24 11:30,NA,2.31,2.31,NA
Gallinas_creek,2/5/24 7:45,NA,2.3,2.3,NA
Gallinas_creek,2/7/24 9:45,NA,2.3,2.3,NA
Gallinas_creek,12/26/23 11:00,NA,2.29,2.29,NA
Gallinas_creek,1/10/24 10:45,NA,2.29,2.29,NA
Gallinas_creek,2/8/24 10:45,NA,2.29,2.29,NA
Gallinas_creek,11/27/23 11:30,NA,2.28,2.28,NA
Gallinas_creek,12/12/23 11:00,NA,2.28,2.28,NA
Gallinas_creek,12/13/23 11:45,NA,2.28,2.28,NA
Gallinas_creek,12/22/23 8:30,NA,2.28,2.28,NA
Gallinas_creek,11/26/23 10:45,NA,2.27,2.27,NA
Gallinas_creek,12/25/23 10:45,NA,2.27,2.27,NA
Gallinas_creek,7/30/23 22:15,NA,2.26,2.26,NA
Gallinas_creek,11/28/23 12:15,NA,2.26,2.26,NA
Gallinas_creek,12/14/23 12:30,NA,2.26,2.26,NA
Gallinas_creek,12/28/23 12:30,NA,2.26,2.26,NA
Gallinas_creek,12/29/23 13:15,NA,2.26,2.26,NA
Gallinas_creek,6/7/24,NA,2.26,2.26,NA
Gallinas_creek,11/16/23 13:30,NA,2.25,2.25,NA
Gallinas_creek,12/23/23 9:00,NA,2.25,2.25,NA
Gallinas_creek,12/24/23 10:00,NA,2.25,2.25,NA
Gallinas_creek,1/22/24 9:30,NA,2.25,2.25,NA
Gallinas_creek,6/5/24 23:00,NA,2.25,2.25,NA
Gallinas_creek,11/14/23 12:00,NA,2.24,2.24,NA
Gallinas_creek,12/15/23 13:15,NA,2.24,2.24,NA
Gallinas_creek,2/6/24 8:30,NA,2.24,2.24,NA
Gallinas_creek,2/10/24 12:30,NA,2.24,2.24,NA
Gallinas_creek,8/3/23 0:45,NA,2.23,2.23,NA
Gallinas_creek,8/30/23 23:45,NA,2.23,2.23,NA
Gallinas_creek,12/20/23 7:15,NA,2.23,2.23,NA
Gallinas_creek,1/11/24 11:45,NA,2.23,2.23,NA
